,Movies,Hours,Year,Rating
0,1. The Shawshank Redemption,2h 22m,1994,R
1,2. The Godfather,2h 55m,1972,R
2,3. The Dark Knight,2h 32m,2008,R
3,4. The Godfather Part II,3h 22m,1974,R
4,5. 12 Angry Men,1h 36m,1957,R
5,6. The Lord of the Rings: The Return of the King,3h 21m,2003,R
6,7. Schindler's List,3h 15m,1993,R
7,8. Pulp Fiction,2h 34m,1994,PG
8,9. The Lord of the Rings: The Fellowship of the Ring,2h 58m,2001,R
9,"10. The Good, the Bad and the Ugly",2h 58m,1966,R
10,11. Forrest Gump,2h 22m,1994,R
11,12. The Lord of the Rings: The Two Towers,2h 59m,2002,R
12,13. Fight Club,2h 19m,1999,PG
13,14. Inception,2h 28m,2010,R
14,15. Star Wars: Episode V - The Empire Strikes Back,2h 4m,1980,R
15,16. The Matrix,2h 16m,1999,R
